booking_id,customer_id,driver_id,booking_timestamp,pickup_location,dropoff_location,pickup_lat,pickup_lng,ride_category,estimated_wait_time,actual_wait_time,estimated_fare,surge_multiplier,driver_rating,customer_rating,ride_status,cancellation_reason,cancellation_time_sec,trip_distance_km,payment_method,customer_satisfaction,is_repeat_customer,day_of_week,hour_of_day,weather_condition,city
BK-20250506-001,CUST-3859,DRV-3615,2025-05-06 08:07:36,Koramangala,Hebbal,19.5196,74.884,UberGo,2,7,142.7,1.1,3.1,3.8,Completed,,,15.9,Wallet,5,True,Tuesday,8,Clear,Bangalore
BK-20250217-002,CUST-1933,,2025-02-17 13:49:57,Juhu,Bandra,25.0918,80.1892,UberGo,10,,50.55,1.4,3.2,4.9,No_Driver,No driver available,,3.7,Debit Card,,True,Monday,13,Cloudy,Mumbai
BK-20250523-003,CUST-1938,DRV-1916,2025-05-23 16:30:29,Bandra,Worli,25.8667,78.8378,UberPool,12,12,79.2,1.0,4.3,4.4,Completed,,,6.4,Cash,4,True,Friday,16,Clear,Mumbai
BK-20250419-004,CUST-1192,,2025-04-19 20:39:01,Airport,Gachibowli,26.4915,73.9463,UberPremier,9,17,637.52,2.5,3.3,3.7,Cancelled_Customer,Fare too high,535,22.7,Cash,,False,Saturday,20,Cloudy,Hyderabad
BK-20250717-005,CUST-4565,DRV-2743,2025-07-17 13:53:39,Lower Parel,Bandra,22.7423,79.1125,UberPool,12,20,419.37,2.6,4.4,4.5,Cancelled_Customer,Booked by mistake,212,16.8,UPI,,True,Thursday,13,Cloudy,Mumbai
BK-20250320-006,CUST-4115,DRV-2133,2025-03-20 13:36:49,Mylapore,OMR,21.27,73.7432,UberPremier,7,5,164.16,1.0,4.0,3.7,Completed,,,11.8,Credit Card,3,True,Thursday,13,Rainy,Chennai
BK-20250516-007,CUST-1029,DRV-4608,2025-05-16 19:12:43,LB Nagar,Banjara Hills,13.9288,77.5333,UberPremier,5,10,274.24,1.3,4.4,4.1,Completed,,,20.6,Cash,5,True,Friday,19,Rainy,Hyderabad
BK-20250619-008,CUST-1248,DRV-2612,2025-06-19 02:34:47,Bandra,Andheri,19.2017,75.3448,UberPool,11,8,187.96,1.2,4.2,3.9,Completed,,,15.0,Cash,4,True,Thursday,2,Clear,Mumbai
BK-20250408-009,CUST-1875,DRV-8886,2025-04-08 19:31:32,MG Road,Electronic City,26.5479,79.5683,UberGo,9,8,117.82,2.3,4.6,4.8,Completed,,,4.3,UPI,4,False,Tuesday,19,Cloudy,Bangalore
BK-20250719-010,CUST-1644,DRV-9701,2025-07-19 09:39:20,Lower Parel,Andheri,13.7044,76.6087,UberXL,14,23,80.78,1.4,4.1,4.6,Cancelled_Customer,Driver too far,518,5.9,Wallet,,False,Saturday,9,Foggy,Mumbai
BK-20251212-011,CUST-1038,DRV-2188,2025-12-12 08:33:48,Bandra,Powai,20.0867,80.2884,UberGo,3,5,223.18,1.0,3.8,4.4,Completed,,,16.4,Debit Card,4,True,Friday,8,Clear,Mumbai
BK-20250420-012,CUST-2083,DRV-3200,2025-04-20 18:25:07,Whitefield,BTM Layout,14.6353,73.6028,UberGo,4,2,140.42,1.0,3.9,4.3,Completed,,,10.1,Wallet,2,True,Sunday,18,Rainy,Bangalore
BK-20250525-013,CUST-3297,DRV-8007,2025-05-25 22:01:16,Adyar,Velachery,12.9537,73.3643,UberGo,6,5,51.86,1.2,4.8,4.8,Completed,,,4.1,UPI,3,True,Sunday,22,Clear,Chennai
BK-20250709-014,CUST-4610,DRV-3900,2025-07-09 21:12:30,Thane,Andheri,19.3555,74.1452,UberPool,15,18,602.0,2.4,3.1,4.0,Cancelled_Customer,Fare too high,196,20.9,Wallet,,False,Wednesday,21,Clear,Mumbai
BK-20250517-015,CUST-2356,DRV-9785,2025-05-17 05:47:46,Karol Bagh,Airport,27.7339,73.6651,UberPremier,15,20,329.38,1.0,4.8,4.0,Cancelled_Customer,Booked by mistake,551,24.9,Credit Card,,True,Saturday,5,Clear,Delhi
BK-20250120-016,CUST-4886,DRV-2146,2025-01-20 03:56:48,Dwarka,Lajpat Nagar,23.3614,75.2765,UberPool,3,4,269.56,2.5,3.8,4.4,Completed,,,8.8,Wallet,4,False,Monday,3,Clear,Delhi
BK-20250917-017,CUST-3767,DRV-8244,2025-09-17 11:15:38,Saket,Lajpat Nagar,16.1979,76.3489,UberPool,12,14,318.05,1.0,4.9,4.5,Completed,,,27.2,Wallet,4,False,Wednesday,11,Clear,Delhi
BK-20250921-018,CUST-1604,DRV-4997,2025-09-21 23:02:40,Bandra,Juhu,23.2313,72.8416,UberPool,14,17,92.23,1.0,3.4,3.5,Completed,,,8.5,UPI,4,True,Sunday,23,Rainy,Mumbai
BK-20250401-019,CUST-4046,DRV-3607,2025-04-01 18:51:29,Airport,MG Road,26.4978,76.1755,UberGo,9,14,253.45,1.0,4.3,5.0,Completed,,,18.5,Wallet,4,False,Tuesday,18,Rainy,Bangalore
BK-20250906-020,CUST-4706,DRV-7381,2025-09-06 22:49:09,Airport,Navi Mumbai,25.0398,79.8955,UberGo,10,10,110.57,1.0,3.2,3.7,Completed,,,12.4,Cash,3,True,Saturday,22,Clear,Mumbai
BK-20250902-021,CUST-4766,DRV-8657,2025-09-02 00:12:52,BTM Layout,Airport,14.8293,77.4669,UberXL,10,13,313.82,1.8,4.5,4.3,Completed,,,18.7,Cash,3,True,Tuesday,0,Clear,Bangalore
BK-20250212-022,CUST-1918,DRV-6733,2025-02-12 23:24:06,Airport,Koramangala,23.1373,78.6592,UberGo,9,6,153.9,1.0,3.7,4.6,Completed,,,12.3,Debit Card,1,False,Wednesday,23,Rainy,Bangalore
BK-20250413-023,CUST-1311,DRV-4249,2025-04-13 00:44:31,Koramangala,Electronic City,22.2144,79.0293,UberPool,9,13,161.38,2.2,4.4,4.7,Cancelled_Customer,Driver too far,414,6.3,UPI,,False,Sunday,0,Cloudy,Bangalore
BK-20251217-024,CUST-3137,,2025-12-17 21:51:37,Bandra,Juhu,28.151,74.8256,UberPremier,12,14,205.37,1.4,3.7,4.3,Cancelled_Driver,Customer asked to cancel,475,11.2,UPI,,True,Wednesday,21,Rainy,Mumbai
BK-20250812-025,CUST-3276,DRV-5526,2025-08-12 21:34:16,Guindy,Nungambakkam,12.9614,79.9105,UberGo,5,7,390.22,1.9,4.5,4.4,Completed,,,20.5,Debit Card,5,True,Tuesday,21,Clear,Chennai
BK-20250908-026,CUST-2109,DRV-8434,2025-09-08 20:12:48,MG Road,Jayanagar,17.6753,74.529,UberPremier,3,6,191.26,1.9,3.6,4.1,Completed,,,8.4,Wallet,4,True,Monday,20,Clear,Bangalore
BK-20251002-027,CUST-3612,DRV-3068,2025-10-02 06:44:27,Juhu,Bandra,26.6085,76.4816,UberGo,11,19,111.44,1.7,3.6,3.7,Cancelled_Customer,Driver too far,329,7.0,UPI,,False,Thursday,6,Clear,Mumbai
BK-20250829-028,CUST-2845,DRV-7232,2025-08-29 17:25:46,BTM Layout,Electronic City,27.2452,75.0301,UberGo,15,24,216.92,1.0,3.1,4.2,Cancelled_Customer,Driver asked to cancel,261,17.9,Wallet,,False,Friday,17,Clear,Bangalore
BK-20251019-029,CUST-2180,,2025-10-19 22:36:39,Tambaram,Airport,24.0406,78.0724,UberGo,6,,82.39,1.5,4.3,3.7,No_Driver,No driver available,,6.5,Cash,,False,Sunday,22,Clear,Chennai
BK-20250516-030,CUST-3049,DRV-5460,2025-05-16 22:45:27,Gachibowli,Airport,21.3857,76.0832,UberPool,4,5,31.48,1.0,4.8,4.7,Completed,,,3.5,Wallet,4,False,Friday,22,Clear,Hyderabad
BK-20250615-031,CUST-4969,DRV-9056,2025-06-15 21:58:49,T Nagar,Guindy,14.2508,75.4097,UberGo,2,5,83.4,1.1,5.0,4.5,Completed,,,9.2,Cash,4,True,Sunday,21,Rainy,Chennai
